name,president,email,url,facebook,membership,about,date_established
Abacus Society,Hiutung Chan,uczxaba@ucl.ac.uk,,https://www.facebook.com/groups/ucluabacus15.16/?fref=ts,3.00," The Association of British and Chinese University Students (ABACUS) is a distinct society that embraces both the British and the Chinese cultures in UCL.  UCL ABACUS is a part of LONDON ABACUS which is made up of eight London universities, so you can interact with students in other London universities. We create platforms for social interaction among students by bringing you a variety of events and activities throughout the year. We host numerous sell-out events which join up with other LONDON ABACUS constitutes including a massive boat party on the River Thames. Also we hold many fabulous well subsidized internal events such as dinners, theatre visits, go-karting, outlet shopping tours, bowling, international potluck and amusement park trips. Last but not the least, if you are a great fan of football, you should not miss out our UCL ABACUS football team which participates in a variety of games and leagues and is renowned for being one of the strongest team around!  How can you not join us for the fruitful year ahead? Join us NOW!  UCLU ABACUS Society have signed the Zero Tolerance to Sexual Harassment Pledge.",
180 Degrees Consulting Society ,Daniel Topolanek,uclu-180degreeconsulting@ucl.ac.uk,,https://www.facebook.com/180dcucl,0.00,"180 Degrees Consulting offers you the unique  opportunity to combine your interest in Consulting with doing something good.  We work together with local and international charities and NGOs who want to improve their strategies and make their work more efficient, in order to reach their goals and to make the impossible possible. To make these projects happen we need motivated, driven people who know the value of NGOs and charities and who are willing to get involved. To get the most out of it for both you and our project partners, student consultants get free training provided by consulting companies to prepare you for the project.  Enhance your skills, gain experience and give something back!  Become a member of UCLU 180 Degrees Consulting Society and apply for our projects at http://180dc.org/branch/ucl/ .  Also keep updated with our Facebook page : https://www.facebook.com/180dcucl ",December 2015
"Atheist, Secularist and Humanist Society",Benedict Claxton Stevens,uczxash@ucl.ac.uk,,https://www.facebook.com/uclashs/,3.00,"Jeremy Bentham said that no government ought to establish any system of belief on the subject of religion.  We know this, and we tend to agree.  The UCLU Atheists, Secularists & Humanists are an award-winning* society who host regular events - including debates and guest speakers - perform charity work, and campaign for the separation of church and state.  We enjoy thoughtful (or otherwise) discussion and debate, great company, and possibly a drink or two, and are proud to be one of the few non-sporting societies that has regular weekly socials throughout the year!  The UCLU-ASHS is affiliated with numerous secular societies and institutions around the country including the National Federation of Atheist, Humanist, and Secular Student Societies, the British Humanist Association, and the National Secular Society.  We are open to absolutely everyone: religious, non-religious, or miscellaneous. So feel free to turn up to one of our weekly socials and get your debate on! Jeremy Bentham would be proud.  *Best New Society 2011; Best Collaboration 2011 (alongside UAL, QMUL, and LSE)  --------------------------  Feel free to turn up to one of our weekly socials every Tuesday during term time, 19:30 - 23:00 in The Huntley/George Farha Cafe ",
Asia Careers Society,Shing Ip,uclu-asia.careers.society@ucl.ac.uk,,https://www.facebook.com/ucluasiacareerssociety,2.00,"Why Asia? Asia is a dynamic area with exciting career prospects in many different industries. Asia is home to many emerging markets which present ample opportunities to work on novel projects.  UCLU Asia Careers Society aims to  Organise and promote career events to allow students to interact with representatives of prestigious companies and gain insight into the recruitment process  Inform members of career prospects in Asian markets  Promote Asian graduate opportunities among members   Why join us? As a member of ACS, you will have many opportunities to attend career events with prestigious companies that will give you insight into career prospects in various industries such as law, business, science and humanities. These events will allow you to network with representatives of these companies and prepare you for a future career in Asia. ",August 2015
Art Society,Shaan Bains,uczxuas@ucl.ac.uk,,http://www.facebook.com/groups/119143524860321/,6.00,"Who we are:  The UCLU Art Society provides a creative community through which like minded individuals can look at, talk about and make art together.  Whether you have never picked up a pencil except for sudoku, or have been painting masterpieces since you were five, if you are interested in any of our activities we’d love to see you.  We welcome members regardless of their course of study, level of past experience or artistic style.  What we do:  Amongst the activities that we run are weekly tutored life drawing sessions, regular gallery visits and studio sessions.  These events are complemented by one-off events and workshops, monthly art film screenings, volunteering opportunities, visiting speakers and an annual exhibition to which you can contribute as an artist, curator and/or spectator at the private view — always a really fun night!  Email: uclu.art.soc@gmail.com ,  Facebook: UCLU Art Society  Instagram: ucluartsociety ",September 2009
Armenian Society,Nina-Nevart Minassian,,,https://www.facebook.com/uclarmsoc,3.00,"Founded in 2010 by a group of Armenian students, the UCL Armenian Society provides a link between Armenian culture, society and language, and student life at University College London.  The society has been active by holding key events throughout the year regarding diasporan and native political affairs, cultural evenings and exciting social nights.  A fundamental aim of the society is to provide an opportunity to learn about the country’s historical and cultural values, as well as looking into key issues that the nation faces as a whole. Furthermore the society also helps the integration of students coming from Armenia and abroad by integrating into both the university community and the local Armenian community in London. This is done through sporting, social and cultural events held frequently during the academic year.  Our Facebook page is located here . Contact us via email at: uclu-armenian.society@ucl.ac.uk",
Anime Society,Sam Pham,uczxani@ucl.ac.uk,,https://www.facebook.com/groups/712898398836305/,3.50,"Our society deals with everything related to the media called Japanese Animation, or Anime in short. Whether you're just curious about anime or a long-term fan, our society is the one for you.  We show various anime from TV episodes, video-only releases, and movies every Tuesday and Thursday. We host socials, quizzes, and art sessions, so there's something for everyone! Members can also access our media library to borrow various media relating to it, such as graphic novels and magazines.  UCLU Anime Society have signed the Zero Tolerance to Sexual Harassment Pledge .",
Arabic Society,Naira Mohamed Ali Ghanem,uczxrb1@ucl.ac.uk,,https://www.facebook.com/groups/ucluarabiansociety/,3.00,"The UCLU Arabic Society is dedicated in providing an Arabic community within UCL that welcomes all individuals seeking to experience and learn about the Arabic culture. We are devoted to the exploring all that relates to the Arabic speaking Middle East, whilst maintaining firm religious and political neutrality. Its aim is to provide a clear linking thread that shows the unity, and at times, uniqueness of the region, culturally, politically, and economically.  We aim to hold a range of activities this academic year. These include: tasting authentic food at a number of dinners, shisha nights, movie nights, and Arabic language classes to beginners, at reasonable prices, with a professional.  The society acknowledges the unfolding process of change within the region and its implication to its future; therefore it is committed to promoting intellectual debate and discussion by a range of high profile external speakers. These figures are leaders in Arab politics, arts, literature, and economics bringing the most-up-to-date issues of the region. The Society therefore provides a form of growth through harnessing a new image of the Arab world to interested students and ensuring that this social community is active within the spheres of the UCL community as a whole.  Please follow us on our new twitter page: @UCLUArabianSoc  UCLU Arabic Society have signed the Zero Tolerance to Sexual Harassment Pledge .",
Bhangra Society,Simranpal Kaur D/O Harjinder Singh,,,https://www.facebook.com/ucl.bhangra,3.00,"Established August 2013, UCL Bhangra Societies aim is to provide lots of fun and entertainment throughout the year. The main aim of the Bhangra Society is to promote awareness of a folk dance form, which originates from the Punjab and explore its Punjabi cultural roots. Recently voted UCL’s Best New Society 2013/14 in its first year, it is accessible to all students of all backgrounds and will present lots of opportunities to learn Bhangra, take part in exhibition performances and compete in various national university and professional team competitions.  In its second year and building on the success in The Bhangra Showdown, the committee hopes to inject energy and new ideas to make Bhangra more accessible to students of all abilities. So, whether you’re a complete beginner looking to try something new or already have experience, Bhangra Soc is a great way to learn this traditional dance at regular Bhangra classes throughout the year, and it’s a great way to get fit. We’ll host regular social events, with opportunities to sample authentic Punjabi cuisine, attend social Bhangra events and lots of other fun activities. Above all, we, at Bhangra Soc, are a family and we welcome everyone who would like to participate! We are always looking for enthusiastic people to get involved and help out so if you're interested please get in touch.  UCLU Bhangra Society have signed the Zero Tolerance to Sexual Harassment Pledge . ",August 2013
Basketball Club (Women's),Sung Jung,uczxwob@ucl.ac.uk,,https://www.facebook.com/UCLUWomensBasketball,28.00,"The UCLU Women’s Basketball society embodies UCL’s privilege of being renowned as ‘London’s global university’ as players unite from all over the world to have fun and improve their game. With members from Spain, Italy, Jordan, the Philippines and more, the club takes pride in this international aspect and the huge interest from overseas students is reflected as we are expanding steadily year by year.  To cater for players of all levels, we are a part of both the BUCS and LUSL leagues, where the experienced first team players compete in the former, while the improving players and beginners have the opportunity to play in the latter. Training hard twice a week with a professional and approachable coach ensures that players are fit and confident to win games and get promoted into the 1st Division of the BUCS league. For three years in a row, we have successfully competed in the international sports tournament, Les Parisiennes, becoming finalists and proudly representing our university abroad. We wish to take part in more tournaments like the aforementioned and establish ourselves as one of the top women’s basketball clubs across the country.  Socially, UCLU Women’s Basketball continues to maintain tight links with UCLU Men’s Basketball; socialising together each week in the Gordon St Union and supporting each other at matches when we can. We also host a wide variety of club social events ranging from Christmas Socials to the UCLU Sports Awards Ball.  If you would like to find out more information about the club or what we offer, please do not hesitate to contact us for further information!  ",
Baseball Club,Jonathan Cheng,uczxbbs@ucl.ac.uk,,https://www.facebook.com/groups/161466647205027/,10.00,"Established in 2010, the UCLU Baseball Club participates in tournaments and friendly games throughout the year and holds training sessions on Wednesdays and Saturdays, along with regular socials, trips to the batting cages and other meetings. The club offers a relaxed atmosphere and welcomes people of all levels of experience. Notable events include the Autumn and Spring Baseball Cups and the National University Softball Championships – there is plenty of opportunity for everybody to play and get involved. All are welcome and we hope to see you there!",September 2010
Barbell Club,Anastasia Dharma,,,https://www.facebook.com/groups/187240254786992/,15.00,"Introducing UCLU Barbell Club: UCL’s premier strength sports and fitness society.  The club caters both for competing athletes across the strength disciplines of Powerlifting, Olympic Weightlifting and Strongman, as well as those who train for aesthetics and/or Bodybuilding, through to the average gymgoer who wants to get more serious about their training for individual sports or just general well-being. The club offers training sessions, seminars, competitions and events throughout the year, and membership provides access to a wealth of knowledge and experience, from both current senior members, and club coaches/PTs.  We hope to see you at one of our sessions soon, and please follow us on Facebook ( https://www.facebook.com/uclub… ) and Instagram ( https://instagram.com/uclubarb… )  UCLU Barbell Club have signed the Zero Tolerance to Sexual Harassment Pledge .    This Club is Pride in Sport Accredited  ",August 2013
Boat Club,Tamsin Howard,uczxbot@ucl.ac.uk,,https://www.facebook.com/groups/uclubc/,90.00,"UCLU Boat Club is one of the oldest, largest and most successful sports clubs at UCL. We welcome both experienced as well as novice rowers. With the aid of three professional coaches and two volunteer coaches we aim to boat the best possible crews at all levels of competition. Every year the senior squads send crews to Henley Royal and Women’s Regattas to compete against the best varsity crews in the world. While we work hard, we also play hard, all members of the Boat Club enjoy a number of balls and dinners throughout the year as well as our weekly sports night.  Before purchasing membership, please check the following conditions…  Casual : Must have completed 1 year of UCL rowing or rowed at least at intermediate level at an equivalent club; at the discretion of the Director of Rowing.  Beginners : Must have never rowed before.  Intermediates : Anyone who has rowed before or not made the senior squad.  Seniors :  Elites : Invitation only - must have senior membership.  Coxswain :  Bentham : For UCL Alumni & Friends.  UCLU Boat Club have signed the Zero Tolerance to Sexual Harassment Pledge .     This Club is Pride in Sport Accredited  ",September 1864
Basketball Club (Men's),Daniel Hambe-Manu,uczxbab@ucl.ac.uk,,https://www.facebook.com/uclmensbasketball,12.00,"UCLU Men’s basketball is a successful, diverse and friendly club that welcomes players of all abilities. We have two teams that compete in both BUCS  and LUSL competitions, and we also run weekly social basketball sessions for those that want to come and play just for fun.  Our first team plays at a very high level in the BUCS 1A division and LUSL Premier League. The second team also take part in BUCS competitions, but at a lower level, and they too compete in the LUSL Premier league. We then have a social level where players can come and play for fun once a week. This year we are introducing the UCL Basketball League (UBL). This will be for players looking to play casual and competitive games in an intermural league. These sessions all take place at Somers Town Community Sports Centre (NW1 1RX) which is a 10 minute walk from the main Bloomsbury campus on a Saturday afternoon.  UCLU Men’s basketball maintains close links with UCLU Women’s Basketball; socialising together each week in the Gordon St Union and supporting each other at matches when we can.  If you want to find out more or have any questions, please Like our facebook page and contact us for more information.     This Club is Pride in Sport Accredited  ",
Bangla Society,Rothna Akhtar,uczxban@ucl.ac.uk,,http://www.facebook.com/groups/238792689514688/?fref=ts,3.00,"Bangla Society is back this year and aims to give you an amazing event filled year!  Since we start the year not long after Eid, our first big event will be our Eid Dinner , a chance for you to show off your Eid clothes at UCL's very own Roof Garden!  After our sell out show Roots at the Bloomsbury Theatre last year we will be holding yet another show- the return of Bashonti , for it's fifth anniversary! Throughout the year we will also be hosting regular subsidised socials such as ice-skating at Somerset House (which has become a tradition at Bangla Soc), paintballing with Paksoc, laser tag and many dinners across the terms.  We are working to help the wider community and there is an opportunity for you to join in with our regular visits to Sonali Gardens, where we can get to know the older bengali generation and simply give them company.  This year, we will also be holding weekly Bangla classes for those of you who have always wanted to learn how to read and write Bangla but never really got the opportunity- now you have one!  Everyone is welcome in the society– whether you want to stay in touch with your culture, learn about a new one, eat some amazing food or just make great friends and have some fun!",
Baltic Society,Kamile Gaurilcikaite,uclu.balticsociety@ucl.ac.uk,,https://www.facebook.com/groups/uclubalticsociety/?fref=ts,2.00,"The UCLU Baltic Society aims to bring UCL students closer to the culture of the Baltics region. The region, consisting of three countries on the Eastern shore of the Baltic Sea (Lithuania, Latvia, and Estonia) is a unique European region with its own rich and turbulent history, distinctive languages, customs, and peculiarities.  Activities organised by the society provide UCL students with an opportunity to broaden their knowledge and understanding about the region in that way enhancing their understanding about the diversity and uniqueness of the world surrounding them.  Together we not only meet up for casual beer and chat but also explore Baltic countries related cultural, political, and economical events across London, such as cinema screenings, exhibitions, and discussions.  Make sure you join our Facebook group!  UCLU Baltic Society have signed the Zero Tolerance to Sexual Harassment Pledge .",October 2013
Bruneian Society,Rasyiqah Muhd Nuraiziz,uczxbru@ucl.ac.uk,,,5.00,"Have you ever wondered where Brunei is located? Or if you can strike it rich by discovering oil in your garden? If so, then join the UCLU Bruneian Society as this will be a good opportunity to get a good taste of the Bruneian spirit, food and festivals! Get ready for all sorts of fun-filled activities ranging from subsidised dinners to treasure trails. ",August 2009
Baking Society,Annie Button,,,https://www.facebook.com/UCLUBakingSociety,5.00,"Baking Society is the perfect society to join if you enjoy baking cakes, bread, biscuits, or pies... or if you just enjoy eating them! We are a relaxed society that is open to everyone. Whether you're an absolute novice or you've mastered macarons, our fortnightly meetings on campus or at local bakeries and cafés will give you the opportunity to meet likeminded people and share tips, recipes, and delicious bakes!  Our meetings on campus will take place fortnightly on a Tuesday and will usually have a theme. You are welcome to bring something you have baked in line with that theme. We have lots of baking themed events lined up for the year, and will be holding charity bake sales, competitions and a UCLU Bake Off at the end of the year.  UCLU Baking Society have signed the Zero Tolerance to Sexual Harassment Pledge . ",
Bright Futures Society,Charlotte Cattaneo,,,http://www.facebook.com/groups/uclbrightfutures,2.00,"Career clueless? We can help you find your dream career!  Already career-orientated? We can help you on your journey to get your dream job!  The UCLU Bright Futures society works under the national Bright Futures network, providing members the chance to establish contact with large corporates across different sectors and make friends with people in Universities across the country.  We aim to:  Run a range of events and activities for students to engage with employers via a peer to peer network either through on or off campus activities e.g. insight days to employer offices, exclusive networking events, dinners and interactive skills workshops etc.  Develop student commercial awareness, as well as their professional & social networks. We will achieve this by hosting and encouraging informal networking with employers and other professionals, as well as socially amongst our student members, those in other societies, and across other universities in the UK, utilising the Bright Futures Society network.  Sounds good? Register to expose yourself to the many opportunities we can provide you!  UCLU Bright Futures Society have signed the Zero Tolerance to Sexual Harassment Pledge .",
Bridge Society,Agata Rumianek,uczxbri@ucl.ac.uk,,https://www.facebook.com/groups/27149089661/,4.00,"Come along to our fantastic society! As Bridge Society we meet up regularly to play (and teach) this highly strategic and fascinating card game, with snacks for our members to munch on! We welcome all levels of skill (including those who have never played before and are curious to learn) and are open to adapt to new bidding systems of more advanced members.  Club meetings are once or twice a week; while we encourage our members to come play as much as possible, we have no attendance requirements. Aside from regular bridge sessions, we also organize pub nights, club-contained mini-tournaments, take part in the annual inter-university bridge tournament, and other such excursions.  So, if you're interested in just learning a few skills, playing a game here or there, or even getting involved in a full tournament, then check out this totally awesome club!  UCLU Bridge Society have signed the Zero Tolerance to Sexual Harassment Pledge .",
Brazilian Jiu Jitsu Club,Mytra Gallery,,,https://www.facebook.com/#!/groups/723155217697112/,10.00,"UCLU grappling trains in No-Gi grappling (without the traditional kimono) and utilises Brazilian Jiu-Jitsu with coaches from the world famous Gracie Barra gym.  This martial art promotes the concept that a smaller, weaker person can successfully defend against a bigger, stronger assailant by using leverage and proper technique, taking the fight to the ground and applying joint-locks and chokeholds to defeat the other person. Training can be used for both competition and self-defence.  This martial art became known worldwide in 1993 when Royce Gracie used it to defeat a range of much larger martial artists in the first ever UFC event. This ‘no-holds barred’ competition was designed to settle the age old debate of “whose martial art works in a real fight?” Brazilian Jiu-Jitsu came out on top with very little competition.  The emphasis on ground fighting is what really sets us apart from other martial arts, as the legendary Carlos Machado once said “After the clinch, it doesn’t matter what happens, one way or another, we’re going to hit the ground, and we’ll be in my world. The ground is my ocean, I’m the shark, and most people don’t even know how to swim”.  Training in Bloomsbury Fitness:  Saturday: 1300 - 1500 (studio)  Sunday: 1400 - 1600 (studio)  Wednesday: 2000 - 2145 (Dojo)  Monday (Open Mat): 15:00 - 17:00 at Astor College  All details regarding training, pricing, and location can be found on our website at http://uclubjj.weebly.com/  If you have any questions please don’t hesitate to get in touch using the facebook group ( http://www.facebook.com/groups/uclugrappling ) or email us ( uclubjj@gmail.com ).  See you on the mats. OSS!    This Club is Pride in Sport Accredited  ",November 2013
Book Club,Sarah George,uczxbkc@ucl.ac.uk,,http://www.facebook.com/UcluBookClub,4.00,"Book Club is where those who love reading can gather and discuss books. We pride ourselves on being an all-inclusive group that welcomes all newcomers, and our meetings have drinks and snacks provided.  Our meetings operate on a rotating three week schedule, with three main activities:  Activity #1: General Book Meetings – Every three weeks, you will have the option of reading one of two books and to come and discuss it with us. These are selected using suggestions from members, so all members can have their say.  Activity #2: Socials – Our social activities include visiting pubs, movie screenings of book adaptations, and cinema and theatre trips. The committee also keeps an eye out for any literary events going on in London.  Activity #3: Further Reading – For the hardcore bibliophiles, in further reading we pick a long book, usually a classic, and read it in instalments over the course of the entire term.  The best way to keep up to date with Book Club news is to join o ur mailing list , or like us on Facebook . We’re also on Good Reads !  Hope to see you at a meeting,  The Book Club Committee ",
Boat Club (RUMS),Samuel Jackson,uczxbcr@ucl.ac.uk,,https://www.facebook.com/RUMSBC?fref=ts,10.00,"RUMSBC is a mixed club that rows from the University of London boathouse on the river Thames. As one of the largest sports clubs in RUMS, the club is both a fantastic way to get some exercise alongside getting involved in one of the most social clubs in RUMS with many dinners and races throughout the year; not forgetting sports night and the highlight of the year, Social Tour. Last year an array of hobbits, elves and orks descended on Brighton! So whether vastly experienced or you’ve never been in a boat, join up to make great friends and have a laugh!    This Club is Pride in Sport Accredited  ",September 1865
Badminton Club (RUMS),Ken Kawamoto,uczxbar@ucl.ac.uk,,http://www.facebook.com/groups/RUMSBadminton,15.00,"The club for medics who have reflexes and speed…combined with a love for rackets. Join us for socialising and friendly competition in the fastest racket sport around. Beginners are very welcome to play…or just come along for the social side! We have teams that play in competitions against other Universities from around London, and a coach to help with team training. Weekly sports nights and/or social events mean that we are a really friendly and inclusive club. We look forward to seeing you on court or in the bar!  Social membership : £15  Team membership: £40  Your membership fee covers the court hire for the WHOLE year, no extra payment required.      This Club is Pride in Sport Accredited  ",
Badminton Club,Yiu Lau,,,https://www.facebook.com/groups/uclubadminton/,20.00,"UCLU Badminton is consistently one of the largest sports club in the University College London Union, involving over 150 UCL students every year in weekly training sessions, matches and social events. Our badminton club caters for all levels from beginner to experienced players. At the competitive level the Men’s 1st & 2nd, Women’s and Mixed teams represent the club in the BUCS and LUSL leagues. Our Women’s team are currently playing in the BUCS Premier Division, with the Men’s 1st and 2nd teams competing in the 1st and 2nd Division respectively. Our club is currently ranked by BUCS as the No. 1 university badminton club in the South-East of the United Kingdom, including the whole of London.  The home venue of the club is Somers Town Community Sports Centre, on Chalton Street ten minutes away from UCL. We host weekly social sessions there on Sundays with dozens of players in a friendly atmosphere.  Team practice, led by a professional coach, takes place at either Somers Town Sports Centre or other well-equipped sports centres, all situated near the Bloomsbury area.  The club also prides itself on its friendly atmosphere and provides an excellent opportunity to make friends.  We usually play every Sunday, 4pm-7pm. Prospective social and competitive team members are welcome to our free events:  Taster Sessions | Sun 11 & 18 Oct, 4pm-5.30pm or 5.30pm-7pm (pick one to attend)  Team Trial sessions | Wed 30 Sep (5pm) & 7 Oct (2pm)  Please note that all timings are subject to change  ***NOTE*** On the UCLU What’s on? page, the team trials on Wednesday 30th September are at 2pm. The timing of the trials have changed. It has now been changed to 5pm . Members of the UCL badminton team will be at the venue to give a reminder just in case there is anyone who turns up at 2pm.   ",
Azerbaijan Society,Suleyman Bayramov,,,http://www.facebook.com/Azsocietyuclu,3.00,"The Azerbaijan Society UCLU is a cultural society that aims to unite and support all Azerbaijani students at UCL and create networking opportunities with other students, organisations and societies. We also wish to familiarize all the students of UCL with Azerbaijan’s rich cultural heritage, traditions, music and art, while providing a chance to meet new and interesting people.",September 2010
Christian Union,Eteyen Bassey,uczxchu@ucl.ac.uk,,https://www.facebook.com/uclcu,5.00,"We are the UCLU Christian Union and our aim is for every student at UCL to have an opportunity to hear the Good News of Jesus Christ. We welcome students of other faiths or of no faith at all who wish to investigate the claims of Jesus for themselves.  Throughout the week we have a variety of meetings and we hold frequent events and socials each term. We join together in prayer, worship and discussion of big questions, as we explore our faith. Our main meeting is on Monday from 18.30.  Check out our website and Facebook page for more information. ",
Austrian Society,Tobias Biwald,uclu-austrian.society@ucl.ac.uk,,https://www.facebook.com/ucluautsoc,3.00,"Servus and welcome to the official UCLU Austrian Society. We are a brand-new society at UCL that aims to create a lively environment of social and cultural exchange. We aim to facilitate students to broaden their network in their home country while offering a range of events, welcoming Austrian students and students interested in the Austrian culture. We hope to welcome you to one of our events soon.  UCLU Austrian Society have signed the Zero Tolerance to Sexual Harassment Pledge .",April 2015
Consulting Society,William Devine,,,https://www.facebook.com/groups/751355591674580/?fref=ts,5.00,"UCLU Consultancy Society is a newly founded group at UCL dedicated to improving consultancy-related skills and providing opportunities for real-life consultancy.  Opportunities within the society include participating in cross-university consultancy competitions, working with UCL Advances to provide consultancy to small businesses, and sharing information on open days, insight opportunities and application deadlines for consultancy-based opportunities, as well as organising socials.",June 2015
